ID	INDIVIDUAL_ID	PLATE_ID	WELL_ID	DATE	REGION	REEF	ZONING	Ysite	Xsite	Yind	Xind	SPECIES	LIFE_STAGE	FL	TL
Plec20_H07	P.Ad-00962	Plec_20	H07	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	550
Plec20_H08	P.Ad-00963	Plec_20	H08	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	550
Plec20_H09	P.Ad-00964	Plec_20	H09	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	500
Plec20_H10	P.Ad-00965	Plec_20	H10	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	550
Plec20_H11	P.Ad-00966	Plec_20	H11	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	500
Plec21_A01	P.Ad-00967	Plec_21	A01	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	450
Plec21_A02	P.Ad-00968	Plec_21	A02	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	420
Plec27_D02	P.Ad-00969	Plec_27	D02	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	460
Plec21_A03	P.Ad-00970	Plec_21	A03	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	440
Plec21_A04	P.Ad-00971	Plec_21	A04	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	550
Plec21_A05	P.Ad-00972	Plec_21	A05	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	560
Plec21_A06	P.Ad-00973	Plec_21	A06	9/05/12	Keppel Islands	Halfway Blue	HPZ	-23.2	150.97	-23.2013	150.9707	P. maculatus	Adult	NA	650
Plec21_A07	P.Ad-00974	Plec_21	A07	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	700
Plec29_G03	P.Ad-00975	Plec_29	G03	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	750
Plec21_A08	P.Ad-00976	Plec_21	A08	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	550
Plec27_D03	P.Ad-00977	Plec_27	D03	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	600
Plec21_A09	P.Ad-00978	Plec_21	A09	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	450
Plec21_A10	P.Ad-00979	Plec_21	A10	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	600
Plec21_A12	P.Ad-00981	Plec_21	A12	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	500
Plec21_B01	P.Ad-00982	Plec_21	B01	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	550
Plec27_D04	P.Ad-00983	Plec_27	D04	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	500
Plec21_B02	P.Ad-00984	Plec_21	B02	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	550
Plec27_D05	P.Ad-00985	Plec_27	D05	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	500
Plec21_B03	P.Ad-00986	Plec_21	B03	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	450
Plec27_D06	P.Ad-00988	Plec_27	D06	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	400
Plec21_B05	P.Ad-00989	Plec_21	B05	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	400
Plec27_D07	P.Ad-00990	Plec_27	D07	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	500
Plec21_B06	P.Ad-00991	Plec_21	B06	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	550
Plec21_B07	P.Ad-00992	Plec_21	B07	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	500
Plec27_D08	P.Ad-00993	Plec_27	D08	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	450
Plec21_B08	P.Ad-00994	Plec_21	B08	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	450
Plec21_B09	P.Ad-00995	Plec_21	B09	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	450
Plec21_B10	P.Ad-00996	Plec_21	B10	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	400
Plec27_D09	P.Ad-00997	Plec_27	D09	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	500
Plec21_B11	P.Ad-00998	Plec_21	B11	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	450
Plec27_D10	P.Ad-01000	Plec_27	D10	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	700
Plec21_C01	P.Ad-01001	Plec_21	C01	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	420
Plec21_C02	P.Ad-01002	Plec_21	C02	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	700
Plec27_D11	P.Ad-01003	Plec_27	D11	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	600
Plec21_C03	P.Ad-01004	Plec_21	C03	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	650
Plec21_C04	P.Ad-01005	Plec_21	C04	10/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.2009	150.9735	P. maculatus	Adult	NA	400
Plec27_D12	P.Ad-01006	Plec_27	D12	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	400
Plec21_C05	P.Ad-01007	Plec_21	C05	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	550
Plec21_C06	P.Ad-01008	Plec_21	C06	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	450
Plec21_C07	P.Ad-01009	Plec_21	C07	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	650
Plec27_E01	P.Ad-01010	Plec_27	E01	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	450
Plec21_C08	P.Ad-01011	Plec_21	C08	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	600
Plec27_E02	P.Ad-01012	Plec_27	E02	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	500
Plec21_C09	P.Ad-01013	Plec_21	C09	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	450
Plec21_C10	P.Ad-01014	Plec_21	C10	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	450
Plec29_G04	P.Ad-01015	Plec_29	G04	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	500
Plec21_C11	P.Ad-01016	Plec_21	C11	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	650
Plec21_C12	P.Ad-01017	Plec_21	C12	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	550
Plec21_D01	P.Ad-01018	Plec_21	D01	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1862	150.9763	P. maculatus	Adult	NA	500
Plec21_D03	P.Ad-01020	Plec_21	D03	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	750
Plec21_D04	P.Ad-01021	Plec_21	D04	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	450
Plec21_D05	P.Ad-01022	Plec_21	D05	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	500
Plec21_D06	P.Ad-01023	Plec_21	D06	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	450
Plec21_D07	P.Ad-01024	Plec_21	D07	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	550
Plec27_E03	P.Ad-01025	Plec_27	E03	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	450
Plec21_D08	P.Ad-01026	Plec_21	D08	11/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1892	150.9828	P. maculatus	Adult	NA	450
Plec21_D09	P.Ad-01027	Plec_21	D09	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	650
Plec21_D10	P.Ad-01028	Plec_21	D10	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	700
Plec21_D11	P.Ad-01029	Plec_21	D11	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	550
Plec21_D12	P.Ad-01030	Plec_21	D12	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	600
Plec21_E01	P.Ad-01031	Plec_21	E01	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	650
Plec21_E04	P.Ad-01035	Plec_21	E04	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	600
Plec27_E05	P.Ad-01036	Plec_27	E05	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	550
Plec21_E05	P.Ad-01037	Plec_21	E05	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	650
Plec21_E06	P.Ad-01038	Plec_21	E06	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	550
Plec27_E06	P.Ad-01039	Plec_27	E06	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	700
Plec21_E07	P.Ad-01040	Plec_21	E07	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	550
Plec21_E08	P.Ad-01041	Plec_21	E08	13/05/12	Keppel Islands	Egg Rock	MPZ	-23.2	151.1	-23.2	151.1	P. maculatus	Adult	NA	550
Plec27_E07	P.Ad-01043	Plec_27	E07	14/05/12	Keppel Islands	Wreck Bay	HPZ	-23.17	150.98	-23.159	150.976	P. maculatus	Adult	NA	440
Plec21_E09	P.Ad-01044	Plec_21	E09	14/05/12	Keppel Islands	Wreck Bay	HPZ	-23.17	150.98	-23.159	150.976	P. maculatus	Adult	NA	450
Plec21_E10	P.Ad-01045	Plec_21	E10	14/05/12	Keppel Islands	Wreck Bay	HPZ	-23.17	150.98	-23.159	150.976	P. maculatus	Adult	NA	650
Plec27_G08	P.Ad-01172	Plec_27	G08	14/05/12	Keppel Islands	Wreck Bay	HPZ	-23.17	150.98	-23.159	150.976	P. maculatus	Adult	NA	550
Plec27_G09	P.Ad-01173	Plec_27	G09	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	600
Plec27_G10	P.Ad-01174	Plec_27	G10	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	600
Plec27_G11	P.Ad-01175	Plec_27	G11	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	750
Plec27_G12	P.Ad-01176	Plec_27	G12	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	600
Plec22_E08	P.Ad-01177	Plec_22	E08	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	650
Plec22_E09	P.Ad-01178	Plec_22	E09	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	450
Plec22_E10	P.Ad-01179	Plec_22	E10	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	460
Plec27_H01	P.Ad-01180	Plec_27	H01	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	550
Plec27_H02	P.Ad-01181	Plec_27	H02	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	410
Plec29_H04	P.Ad-01182	Plec_29	H04	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	440
Plec22_E11	P.Ad-01183	Plec_22	E11	14/05/12	Keppel Islands	Big Peninsula	HPZ	-23.15	150.98	-23.1488	150.9761	P. maculatus	Adult	NA	750
Plec27_H03	P.Ad-01184	Plec_27	H03	14/05/12	Keppel Islands	Wyndham Cove	HPZ	-23.19	150.96	-23.1931	150.962	P. maculatus	Adult	NA	450
Plec27_H04	P.Ad-01185	Plec_27	H04	14/05/12	Keppel Islands	Wyndham Cove	HPZ	-23.19	150.96	-23.1931	150.962	P. maculatus	Adult	NA	400
Plec27_H05	P.Ad-01186	Plec_27	H05	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	500
Plec22_E12	P.Ad-01187	Plec_22	E12	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	520
Plec27_H06	P.Ad-01188	Plec_27	H06	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	750
Plec22_F01	P.Ad-01189	Plec_22	F01	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	700
Plec22_F02	P.Ad-01190	Plec_22	F02	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	480
Plec22_F03	P.Ad-01191	Plec_22	F03	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	650
Plec27_H07	P.Ad-01192	Plec_27	H07	15/05/12	Keppel Islands	North Keppel Green East	MPZ	-23.07	150.91	-23.0728	150.9079	P. maculatus	Adult	NA	450
Plec27_H08	P.Ad-01193	Plec_27	H08	15/05/12	Keppel Islands	Corroboree Is	HPZ	-23.05	150.89	-23.0512	150.8864	P. maculatus	Adult	NA	450
Plec27_H10	P.Ad-01195	Plec_27	H10	15/05/12	Keppel Islands	Corroboree Is	HPZ	-23.05	150.89	-23.0512	150.8864	P. maculatus	Adult	NA	400
Plec22_F04	P.Ad-01196	Plec_22	F04	15/05/12	Keppel Islands	Corroboree Is	HPZ	-23.05	150.89	-23.0512	150.8864	P. maculatus	Adult	NA	550
Plec27_H11	P.Ad-01197	Plec_27	H11	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	450
Plec22_F05	P.Ad-01198	Plec_22	F05	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	480
Plec28_A01	P.Ad-01199	Plec_28	A01	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	500
Plec22_F06	P.Ad-01200	Plec_22	F06	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	460
Plec22_F07	P.Ad-01201	Plec_22	F07	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	440
Plec22_F08	P.Ad-01202	Plec_22	F08	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	400
Plec22_F09	P.Ad-01203	Plec_22	F09	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	450
Plec28_A02	P.Ad-01204	Plec_28	A02	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	550
Plec28_A03	P.Ad-01205	Plec_28	A03	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	380
Plec22_F10	P.Ad-01206	Plec_22	F10	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	460
Plec28_A04	P.Ad-01207	Plec_28	A04	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	470
Plec28_A05	P.Ad-01208	Plec_28	A05	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	480
Plec22_F12	P.Ad-01210	Plec_22	F12	16/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1686	150.8844	P. maculatus	Adult	NA	500
Plec22_G01	P.Ad-01211	Plec_22	G01	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	400
Plec28_A06	P.Ad-01213	Plec_28	A06	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	700
Plec22_G02	P.Ad-01214	Plec_22	G02	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	520
Plec28_A07	P.Ad-01215	Plec_28	A07	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	400
Plec28_A08	P.Ad-01216	Plec_28	A08	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	430
Plec29_H06	P.Ad-01217	Plec_29	H06	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	750
Plec22_G03	P.Ad-01218	Plec_22	G03	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	500
Plec22_G04	P.Ad-01219	Plec_22	G04	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	650
Plec22_G05	P.Ad-01220	Plec_22	G05	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	420
Plec22_G06	P.Ad-01222	Plec_22	G06	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	580
Plec22_G07	P.Ad-01223	Plec_22	G07	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	420
Plec29_H07	P.Ad-01224	Plec_29	H07	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	430
Plec22_G08	P.Ad-01225	Plec_22	G08	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.1635	150.9237	P. maculatus	Adult	NA	450
Plec22_G09	P.Ad-01226	Plec_22	G09	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	440
Plec22_G10	P.Ad-01227	Plec_22	G10	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	650
Plec28_A10	P.Ad-01228	Plec_28	A10	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	400
Plec22_G11	P.Ad-01229	Plec_22	G11	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	420
Plec22_G12	P.Ad-01230	Plec_22	G12	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	680
Plec22_H01	P.Ad-01231	Plec_22	H01	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	450
Plec28_A11	P.Ad-01232	Plec_28	A11	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	430
Plec29_H08	P.Ad-01233	Plec_29	H08	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	400
Plec22_H02	P.Ad-01234	Plec_22	H02	19/05/12	Keppel Islands	Middle Is	MPZ	-23.17	150.92	-23.166	150.9144	P. maculatus	Adult	NA	470
Plec22_H04	P.Ad-01246	Plec_22	H04	3/06/12	Keppel Islands	Wyndham Cove	HPZ	-23.19	150.96	-23.1931	150.962	P. maculatus	Adult	NA	470
Plec22_H05	P.Ad-01247	Plec_22	H05	3/06/12	Keppel Islands	Wyndham Cove	HPZ	-23.19	150.96	-23.1931	150.962	P. maculatus	Adult	NA	420
Plec28_A12	P.Ad-01248	Plec_28	A12	3/06/12	Keppel Islands	Wyndham Cove	HPZ	-23.19	150.96	-23.1931	150.962	P. maculatus	Adult	NA	400
Plec22_H06	P.Ad-01426	Plec_22	H06	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	450
Plec22_H07	P.Ad-01427	Plec_22	H07	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	450
Plec22_H08	P.Ad-01428	Plec_22	H08	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	450
Plec28_B01	P.Ad-01429	Plec_28	B01	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	400
Plec22_H09	P.Ad-01430	Plec_22	H09	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	500
Plec22_H10	P.Ad-01431	Plec_22	H10	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	550
Plec22_H11	P.Ad-01433	Plec_22	H11	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	480
Plec23_A01	P.Ad-01434	Plec_23	A01	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	380
Plec23_A02	P.Ad-01435	Plec_23	A02	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	460
Plec23_A03	P.Ad-01436	Plec_23	A03	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	400
Plec23_A04	P.Ad-01437	Plec_23	A04	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	500
Plec28_B03	P.Ad-01438	Plec_28	B03	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	520
Plec28_B04	P.Ad-01439	Plec_28	B04	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.188	150.98	P. maculatus	Adult	NA	440
Plec28_B05	P.Ad-01440	Plec_28	B05	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	450
Plec23_A05	P.Ad-01442	Plec_23	A05	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	750
Plec23_A06	P.Ad-01443	Plec_23	A06	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	650
Plec23_A07	P.Ad-01444	Plec_23	A07	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	450
Plec23_A08	P.Ad-01445	Plec_23	A08	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	480
Plec28_B07	P.Ad-01446	Plec_28	B07	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	450
Plec23_A09	P.Ad-01447	Plec_23	A09	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	NA	550
